Open,High,Low,Close,Date
224.779998779297,225.130004882812,221.809997558594,222.880004882812,2025-02-20
223.279998779297,223.309997558594,214.740005493164,216.580001831055,2025-02-21
217.449996948242,217.720001220703,212.419998168945,212.710006713867,2025-02-24
211.630004882812,213.339996337891,204.160003662109,212.800003051758,2025-02-25
214.940002441406,218.160003662109,213.089996337891,214.350006103516,2025-02-26
218.350006103516,219.970001220703,208.369995117188,208.740005493164,2025-02-27
208.649993896484,212.619995117188,206.990005493164,212.279998779297,2025-02-28
213.350006103516,214.009994506836,202.550003051758,205.020004272461,2025-03-03
200.110000610352,206.800003051758,197.429992675781,203.800003051758,2025-03-04
204.800003051758,209.979995727539,203.259994506836,208.360000610352,2025-03-05
204.399993896484,205.770004272461,198.300003051758,200.699996948242,2025-03-06
199.490005493164,202.270004272461,192.529998779297,199.25,2025-03-07
195.600006103516,196.729995727539,190.850006103516,194.539993286133,2025-03-10
193.899993896484,200.179992675781,193.399993896484,196.589996337891,2025-03-11
200.720001220703,201.520004272461,195.289993286133,198.889999389648,2025-03-12
198.169998168945,198.880004882812,191.820007324219,193.889999389648,2025-03-13
197.410003662109,198.649993896484,195.320007324219,197.949996948242,2025-03-14
198.770004272461,199,194.320007324219,195.740005493164,2025-03-17
192.520004272461,194,189.380004882812,192.820007324219,2025-03-18
193.380004882812,195.970001220703,191.960006713867,195.539993286133,2025-03-19
193.070007324219,199.320007324219,192.300003051758,194.949996948242,2025-03-20
192.899993896484,196.990005493164,192.520004272461,196.210006713867,2025-03-21
200,203.639999389648,199.949996948242,203.259994506836,2025-03-24
203.600006103516,206.210006713867,203.220001220703,205.710006713867,2025-03-25
205.839996337891,206.009994506836,199.929992675781,201.130004882812,2025-03-26
200.889999389648,203.789993286133,199.279998779297,201.360000610352,2025-03-27
198.419998168945,199.259994506836,191.880004882812,192.720001220703,2025-03-28
188.190002441406,191.330001831055,184.399993896484,190.259994506836,2025-03-31
187.860000610352,193.929992675781,187.199996948242,192.169998168945,2025-04-01
187.660003662109,198.339996337891,187.660003662109,196.009994506836,2025-04-02
183,184.130004882812,176.919998168945,178.410003662109,2025-04-03
167.149993896484,178.139999389648,166,171,2025-04-04
162,183.410003662109,161.380004882812,175.259994506836,2025-04-07
185.229995727539,185.899993896484,168.570007324219,170.660003662109,2025-04-08
172.119995117188,192.649993896484,169.929992675781,191.100006103516,2025-04-09
185.440002441406,186.869995117188,175.850006103516,181.220001220703,2025-04-10
179.929992675781,185.860000610352,178,184.869995117188,2025-04-11
186.839996337891,187.440002441406,179.229995727539,182.119995117188,2025-04-14
181.410003662109,182.350006103516,177.929992675781,179.589996337891,2025-04-15
176.289993286133,179.100006103516,171.410003662109,174.330001831055,2025-04-16
176,176.210006713867,172,172.610000610352,2025-04-17
169.600006103516,169.600006103516,165.289993286133,167.320007324219,2025-04-21
169.850006103516,176.779998779297,169.350006103516,173.179992675781,2025-04-22
183.449996948242,187.380004882812,180.190002441406,180.600006103516,2025-04-23
180.919998168945,186.740005493164,180.179992675781,186.539993286133,2025-04-24
187.619995117188,189.940002441406,185.490005493164,188.990005493164,2025-04-25
190.110000610352,190.220001220703,184.889999389648,187.699996948242,2025-04-28
183.990005493164,188.020004272461,183.679992675781,187.389999389648,2025-04-29
182.169998168945,185.050003051758,178.850006103516,184.419998168945,2025-04-30
190.630004882812,191.809997558594,187.5,190.199996948242,2025-05-01
191.440002441406,192.880004882812,186.399993896484,189.979995727539,2025-05-02
186.509994506836,188.179992675781,185.529998779297,186.350006103516,2025-05-05
184.570007324219,187.929992675781,183.850006103516,185.009994506836,2025-05-06
185.559997558594,190.990005493164,185.009994506836,188.710006713867,2025-05-07
191.429992675781,194.330001831055,188.820007324219,192.080001831055,2025-05-08
193.380004882812,194.690002441406,191.160003662109,193.059997558594,2025-05-09
210.710006713867,211.660003662109,205.75,208.639999389648,2025-05-12
211.080001831055,214.839996337891,210.100006103516,211.369995117188,2025-05-13
211.449996948242,211.929992675781,208.850006103516,210.25,2025-05-14
206.449996948242,206.880004882812,202.669998168945,205.169998168945,2025-05-15
206.850006103516,206.850006103516,204.369995117188,205.589996337891,2025-05-16
201.649993896484,206.619995117188,201.259994506836,206.160003662109,2025-05-19
204.630004882812,205.589996337891,202.649993896484,204.070007324219,2025-05-20
201.610000610352,203.460006713867,200.059997558594,201.119995117188,2025-05-21
201.380004882812,205.759994506836,200.160003662109,203.100006103516,2025-05-22
198.899993896484,202.369995117188,197.850006103516,200.990005493164,2025-05-23
203.089996337891,206.690002441406,202.190002441406,206.020004272461,2025-05-27
205.919998168945,207.660003662109,204.410003662109,204.720001220703,2025-05-28
208.029998779297,208.809997558594,204.229995727539,205.699996948242,2025-05-29
204.839996337891,205.990005493164,201.699996948242,205.009994506836,2025-05-30
204.979995727539,207,202.679992675781,206.649993896484,2025-06-02
207.110000610352,208.949996948242,205.029998779297,205.710006713867,2025-06-03
206.550003051758,208.179992675781,205.179992675781,207.229995727539,2025-06-04
209.550003051758,212.809997558594,207.559997558594,207.910003662109,2025-06-05
212.399993896484,213.869995117188,210.5,213.570007324219,2025-06-06
214.75,217.850006103516,212.880004882812,216.979995727539,2025-06-09
216.779998779297,217.690002441406,214.149993896484,217.610000610352,2025-06-10
217.410003662109,218.399993896484,212.889999389648,213.199996948242,2025-06-11
211.779998779297,213.580001831055,211.330001831055,213.240005493164,2025-06-12
209.960006713867,214.050003051758,209.619995117188,212.100006103516,2025-06-13
212.309997558594,217.059997558594,211.600006103516,216.100006103516,2025-06-16
215.199996948242,217.410003662109,214.559997558594,214.820007324219,2025-06-17
215.089996337891,217.960006713867,212.339996337891,212.520004272461,2025-06-18
214.679992675781,214.889999389648,208.270004272461,209.690002441406,2025-06-20
209.789993286133,210.389999389648,207.309997558594,208.470001220703,2025-06-23
212.139999389648,214.339996337891,211.050003051758,212.770004272461,2025-06-24
214.619995117188,216.029998779297,211.110000610352,211.990005493164,2025-06-25
213.119995117188,218.039993286133,212.009994506836,217.119995117188,2025-06-26
219.919998168945,223.300003051758,216.740005493164,223.300003051758,2025-06-27
223.520004272461,223.820007324219,219.119995117188,219.389999389648,2025-06-30
219.5,221.880004882812,217.929992675781,220.460006713867,2025-07-01
219.729995727539,221.600006103516,219.059997558594,219.919998168945,2025-07-02
221.820007324219,224.009994506836,221.360000610352,223.410003662109,2025-07-03
223,224.289993286133,222.369995117188,223.470001220703,2025-07-07
223.919998168945,224,218.429992675781,219.360000610352,2025-07-08
221.070007324219,224.289993286133,220.470001220703,222.539993286133,2025-07-09
221.550003051758,222.789993286133,219.699996948242,222.259994506836,2025-07-10
223.580001831055,226.679992675781,222.369995117188,225.020004272461,2025-07-11
225.070007324219,226.660003662109,224.240005493164,225.690002441406,2025-07-14
226.199996948242,227.270004272461,225.460006713867,226.350006103516,2025-07-15
225.880004882812,226.100006103516,222.179992675781,223.190002441406,2025-07-16
223.320007324219,224.5,222.509994506836,223.880004882812,2025-07-17
225.139999389648,226.399993896484,222.979995727539,226.130004882812,2025-07-18
225.839996337891,229.690002441406,225.649993896484,229.300003051758,2025-07-21
229.679992675781,230,226.350006103516,227.470001220703,2025-07-22
228.470001220703,228.789993286133,227.089996337891,228.289993286133,2025-07-23
229.169998168945,236,228.639999389648,232.229995727539,2025-07-24
232.220001220703,232.479995727539,231.179992675781,231.440002441406,2025-07-25
233.350006103516,234.289993286133,232.25,232.789993286133,2025-07-28
234.149993896484,234.720001220703,230.309997558594,231.009994506836,2025-07-29
231.639999389648,231.800003051758,229.289993286133,230.190002441406,2025-07-30
235.770004272461,236.529998779297,231.399993896484,234.110000610352,2025-07-31
217.210006713867,220.440002441406,212.800003051758,214.75,2025-08-01
217.399993896484,217.440002441406,211.419998168945,211.649993896484,2025-08-04
213.050003051758,216.300003051758,212.869995117188,213.75,2025-08-05
214.699996948242,222.649993896484,213.740005493164,222.309997558594,2025-08-06
221,226.220001220703,220.820007324219,223.130004882812,2025-08-07
223.139999389648,223.800003051758,221.880004882812,222.690002441406,2025-08-08
221.779998779297,223.050003051758,220.399993896484,221.300003051758,2025-08-11
222.229995727539,223.5,219.050003051758,221.470001220703,2025-08-12
222,224.919998168945,222,224.559997558594,2025-08-13
227.399993896484,233.110000610352,227.020004272461,230.979995727539,2025-08-14
232.580001831055,234.080001831055,229.809997558594,231.029998779297,2025-08-15
230.229995727539,231.910003662109,228.330001831055,231.490005493164,2025-08-18
230.089996337891,230.529998779297,227.119995117188,228.009994506836,2025-08-19
227.119995117188,227.270004272461,220.919998168945,223.809997558594,2025-08-20
222.649993896484,222.779998779297,220.5,221.949996948242,2025-08-21
222.789993286133,229.139999389648,220.820007324219,228.839996337891,2025-08-22
227.350006103516,229.600006103516,227.309997558594,227.940002441406,2025-08-25
227.110000610352,229,226.020004272461,228.710006713867,2025-08-26
228.570007324219,229.869995117188,227.809997558594,229.119995117188,2025-08-27
229.009994506836,232.710006713867,228.020004272461,231.600006103516,2025-08-28
231.320007324219,231.809997558594,228.160003662109,229,2025-08-29
223.520004272461,226.169998168945,221.830001831055,225.339996337891,2025-09-02
225.210006713867,227.169998168945,224.360000610352,225.990005493164,2025-09-03
231.190002441406,235.770004272461,230.779998779297,235.679992675781,2025-09-04
235.190002441406,236,231.929992675781,232.330001831055,2025-09-05
234.940002441406,237.600006103516,233.75,235.839996337891,2025-09-08
236.360000610352,238.850006103516,235.080001831055,238.240005493164,2025-09-09
237.520004272461,237.679992675781,229.100006103516,230.330001831055,2025-09-10
231.490005493164,231.529998779297,229.339996337891,229.949996948242,2025-09-11
230.350006103516,230.789993286133,226.289993286133,228.149993896484,2025-09-12
230.630004882812,233.729995727539,230.320007324219,231.429992675781,2025-09-15
232.940002441406,235.899993896484,232.229995727539,234.050003051758,2025-09-16
233.770004272461,234.300003051758,228.710006713867,231.619995117188,2025-09-17
232.5,233.479995727539,228.789993286133,231.229995727539,2025-09-18
232.369995117188,234.160003662109,229.699996948242,231.479995727539,2025-09-19
230.559997558594,230.570007324219,227.509994506836,227.630004882812,2025-09-22
227.830001831055,227.860000610352,220.070007324219,220.710006713867,2025-09-23
224.149993896484,224.559997558594,219.449996948242,220.210006713867,2025-09-24
220.059997558594,220.669998168945,216.470001220703,218.149993896484,2025-09-25
219.080001831055,221.050003051758,218.020004272461,219.779998779297,2025-09-26
220.080001831055,222.600006103516,219.300003051758,222.169998168945,2025-09-29
222.029998779297,222.240005493164,217.889999389648,219.570007324219,2025-09-30
217.360000610352,222.149993896484,216.610000610352,220.630004882812,2025-10-01
221.009994506836,222.809997558594,218.949996948242,222.410003662109,2025-10-02
223.440002441406,224.199996948242,219.339996337891,219.509994506836,2025-10-03
221,221.729995727539,216.029998779297,220.899993896484,2025-10-06
220.880004882812,222.889999389648,220.169998168945,221.779998779297,2025-10-07
222.919998168945,226.729995727539,221.190002441406,225.220001220703,2025-10-08
225,228.210006713867,221.75,227.740005493164,2025-10-09
226.210006713867,228.25,216,216.369995117188,2025-10-10
217.699996948242,220.679992675781,217.039993286133,220.070007324219,2025-10-13
215.559997558594,219.320007324219,212.600006103516,216.389999389648,2025-10-14
216.619995117188,217.710006713867,212.660003662109,215.570007324219,2025-10-15
215.669998168945,218.589996337891,212.809997558594,214.470001220703,2025-10-16
214.559997558594,214.800003051758,211.029998779297,213.039993286133,2025-10-17
213.880004882812,216.690002441406,213.589996337891,216.479995727539,2025-10-20
218.429992675781,223.320007324219,217.990005493164,222.029998779297,2025-10-21
219.300003051758,220.009994506836,216.520004272461,217.949996948242,2025-10-22
219,221.300003051758,218.179992675781,221.089996337891,2025-10-23
221.970001220703,225.399993896484,221.899993896484,224.210006713867,2025-10-24
227.660003662109,228.399993896484,225.539993286133,226.970001220703,2025-10-27
228.220001220703,231.490005493164,226.210006713867,229.25,2025-10-28
231.669998168945,232.820007324219,227.759994506836,230.300003051758,2025-10-29
227.059997558594,228.440002441406,222.75,222.860000610352,2025-10-30
250.100006103516,250.5,243.979995727539,244.220001220703,2025-10-31
255.360000610352,258.600006103516,252.899993896484,254,2025-11-03
250.380004882812,257.010009765625,248.660003662109,249.320007324219,2025-11-04
249.029998779297,251,246.160003662109,250.199996948242,2025-11-05
249.160003662109,250.380004882812,242.169998168945,243.039993286133,2025-11-06
242.899993896484,244.899993896484,238.490005493164,244.410003662109,2025-11-07
248.339996337891,251.75,245.589996337891,248.399993896484,2025-11-10
248.410003662109,249.75,247.229995727539,249.100006103516,2025-11-11
250.240005493164,250.369995117188,243.75,244.199996948242,2025-11-12
243.050003051758,243.75,236.5,237.580001831055,2025-11-13
235.059997558594,238.729995727539,232.889999389648,234.690002441406,2025-11-14
233.25,234.600006103516,229.190002441406,232.869995117188,2025-11-17
228.100006103516,230.199996948242,222.419998168945,222.550003051758,2025-11-18
223.740005493164,223.740005493164,218.520004272461,222.690002441406,2025-11-19
227.050003051758,227.410003662109,216.740005493164,217.139999389648,2025-11-20
216.350006103516,222.210006713867,215.179992675781,220.690002441406,2025-11-21
222.559997558594,227.330001831055,222.270004272461,226.279998779297,2025-11-24
226.380004882812,230.520004272461,223.800003051758,229.669998168945,2025-11-25
230.740005493164,231.75,228.770004272461,229.160003662109,2025-11-26
231.240005493164,233.289993286133,230.220001220703,233.220001220703,2025-11-28
233.220001220703,235.800003051758,232.25,233.880004882812,2025-12-01
235.009994506836,238.970001220703,233.550003051758,234.419998168945,2025-12-02
233.350006103516,233.380004882812,230.610000610352,232.380004882812,2025-12-03
232.770004272461,233.5,226.800003051758,229.110000610352,2025-12-04
230.320007324219,231.240005493164,228.550003051758,229.529998779297,2025-12-05
229.589996337891,230.830001831055,226.270004272461,226.889999389648,2025-12-08
226.839996337891,228.570007324219,225.110000610352,227.919998168945,2025-12-09
228.809997558594,232.419998168945,228.460006713867,231.779998779297,2025-12-10
230.710006713867,232.110000610352,228.690002441406,230.279998779297,2025-12-11
229.869995117188,230.080001831055,225.119995117188,226.190002441406,2025-12-12
227.929992675781,227.929992675781,221.5,222.539993286133,2025-12-15
223.039993286133,223.660003662109,221.130004882812,222.559997558594,2025-12-16
224.660003662109,225.190002441406,220.990005493164,221.270004272461,2025-12-17
225.710006713867,229.229995727539,224.410003662109,226.759994506836,2025-12-18
226.759994506836,229.130004882812,225.580001831055,227.350006103516,2025-12-19
228.610000610352,229.479995727539,226.710006713867,228.429992675781,2025-12-22
229.059997558594,232.449996948242,228.729995727539,232.139999389648,2025-12-23
232.130004882812,232.949996948242,231.330001831055,232.380004882812,2025-12-24
232.039993286133,232.990005493164,231.179992675781,232.520004272461,2025-12-26
231.940002441406,232.600006103516,230.770004272461,232.070007324219,2025-12-29
231.210006713867,232.770004272461,230.199996948242,232.529998779297,2025-12-30
232.910003662109,232.990005493164,230.119995117188,230.820007324219,2025-12-31
231.339996337891,235.460006713867,224.699996948242,226.5,2026-01-02
228.839996337891,234,227.179992675781,233.059997558594,2026-01-05
232.100006103516,243.179992675781,232.070007324219,240.929992675781,2026-01-06
239.610000610352,245.289993286133,239.520004272461,241.559997558594,2026-01-07
243.059997558594,246.410003662109,241.880004882812,246.289993286133,2026-01-08
244.570007324219,247.860000610352,242.240005493164,247.380004882812,2026-01-09
246.729995727539,248.940002441406,245.960006713867,246.470001220703,2026-01-12
246.529998779297,247.660003662109,240.25,242.600006103516,2026-01-13
241.149993896484,241.279998779297,236.220001220703,236.649993896484,2026-01-14
239.309997558594,240.649993896484,236.630004882812,238.179992675781,2026-01-15
239.089996337891,239.570007324219,236.410003662109,239.119995117188,2026-01-16
233.759994506836,235.089996337891,229.339996337891,231,2026-01-20
231.089996337891,232.300003051758,226.880004882812,231.309997558594,2026-01-21
