Open,High,Low,Close,Date
234.050003051758,235.720001220703,230.899993896484,234.339996337891,2026-01-22
234.960006713867,240.449996948242,234.570007324219,239.160003662109,2026-01-23
239.979995727539,240.949996948242,237.539993286133,238.419998168945,2026-01-26
239.690002441406,244.880004882812,238.080001831055,244.679992675781,2026-01-27
246.369995117188,247.779998779297,241.529998779297,243.009994506836,2026-01-28
242.820007324219,243,236.740005493164,241.729995727539,2026-01-29
239.889999389648,243.320007324219,237.639999389648,239.300003051758,2026-01-30
238.309997558594,245.630004882812,238.169998168945,242.960006713867,2026-02-02
244.979995727539,246.350006103516,235.449996948242,238.619995117188,2026-02-03
238.860000610352,238.860000610352,231.820007324219,232.990005493164,2026-02-04
224.910003662109,226.309997558594,220.380004882812,222.690002441406,2026-02-05
202.699996948242,211.440002441406,200.309997558594,210.320007324219,2026-02-06
208.970001220703,212.809997558594,203.350006103516,208.720001220703,2026-02-09
208.800003051758,212.649993896484,206.410003662109,206.960006713867,2026-02-10
208.059997558594,208.570007324219,202.490005493164,204.080001831055,2026-02-11
203.960006713867,203.960006713867,197.559997558594,199.600006103516,2026-02-12
198.880004882812,201.160003662109,197.279998779297,198.789993286133,2026-02-13
198.130004882812,201.740005493164,196,201.149993896484,2026-02-17
202.070007324219,206.860000610352,201.509994506836,204.789993286133,2026-02-18
203.800003051758,205.639999389648,202.809997558594,204.860000610352,2026-02-19
204.759994506836,211.169998168945,203.75,210.110000610352,2026-02-20
208.100006103516,208.429992675781,203.110000610352,205.270004272461,2026-02-23
205.470001220703,210.360000610352,203.25,208.559997558594,2026-02-24
210.460006713867,211.589996337891,208.929992675781,210.639999389648,2026-02-25
210.729995727539,211.050003051758,205.350006103516,207.919998168945,2026-02-26
206.830001831055,210.330001831055,205.199996948242,210,2026-02-27
